# BetterQuesting Item Export
# Format: modid:item_name
# Use these IDs in DSL quest files

3DManeuverGear:3DManeuverGear                      # 3D Maneuver Gear
AgriCraft:cropBotaniaBlack                         # Mystical Black Flower
AgriCraft:cropBotaniaBlue                          # Mystical Blue Flower
AgriCraft:cropBotaniaBrown                         # Mystical Brown Flower
AgriCraft:cropBotaniaCyan                          # Mystical Cyan Flower
AgriCraft:cropBotaniaGray                          # Mystical Gray Flower
AgriCraft:cropBotaniaGreen                         # Mystical Green Flower
AgriCraft:cropBotaniaLightBlue                     # Mystical Light Blue Flower
AgriCraft:cropBotaniaLightGray                     # Mystical Light Gray Flower
AgriCraft:cropBotaniaLime                          # Mystical Lime Flower
AgriCraft:cropBotaniaMagenta                       # Mystical Magenta Flower
AgriCraft:cropBotaniaOrange                        # Mystical Orange Flower
AgriCraft:cropBotaniaPink                          # Mystical Pink Flower
AgriCraft:cropBotaniaPurple                        # Mystical Purple Flower
AgriCraft:cropBotaniaRed                           # Mystical Red Flower
AgriCraft:cropBotaniaWhite                         # Mystical White Flower
AgriCraft:cropBotaniaYellow                        # Mystical Yellow Flower
AgriCraft:cropCactus                               # Cactus
AgriCraft:cropCarrot                               # Carrot
AgriCraft:cropCinderpearl                          # Cinderpearl
AgriCraft:cropCuprosia                             # Cuprosia
AgriCraft:cropDaisy                                # Daisy
AgriCraft:cropDandelion                            # Dandelion
AgriCraft:cropDiamahlia                            # Diamahlia
AgriCraft:cropEmeryllis                            # Emeryllis
AgriCraft:cropFerranium                            # Ferranium
AgriCraft:cropJaslumine                            # Jaslumine
AgriCraft:cropLapender                             # Lapender
AgriCraft:cropNiccissus                            # Niccissus
AgriCraft:cropNitorWart                            # Nitor Wart
AgriCraft:cropOrchid                               # Orchid
AgriCraft:cropOsmonium                             # Osmonium
AgriCraft:cropPetinia                              # Petinia
AgriCraft:cropPlatiolus                            # Platiolus
AgriCraft:cropPlombean                             # Plombean
AgriCraft:cropPoppy                                # Poppy
AgriCraft:cropPotato                               # Potato
AgriCraft:cropQuartzanthemum                       # Quartzanthemum
AgriCraft:cropRedstodendron                        # Redstodendron
AgriCraft:cropShimmerleaf                          # Shimmerleaf
AgriCraft:cropShroomBrown                          # Brown Mushroom
AgriCraft:cropShroomRed                            # Red Mushroom
AgriCraft:cropSilverweed                           # Silverweed
AgriCraft:cropSugarcane                            # Sugarcane
AgriCraft:cropTaintedRoot                          # Taint Root
AgriCraft:cropTulipOrange                          # Orange Tulip
AgriCraft:cropTulipPink                            # Pink Tulip
AgriCraft:cropTulipRed                             # Red Tulip
AgriCraft:cropTulipWhite                           # White Tulip
AgriCraft:cropVishroom                             # Vishroom
AgriCraft:crops                                    # Crop Sticks
AgriCraft:cropsItem                                # Crop Sticks
AgriCraft:debugger                                 # Debugger
AgriCraft:fence                                    # Fence
AgriCraft:fenceGate                                # Fence Gate
AgriCraft:grate                                    # Wooden Grate
AgriCraft:handRake                                 # Wooden Hand Rake
AgriCraft:journal                                  # Agricultural Journal
AgriCraft:magnifyingGlass                          # Magnifying Glass
AgriCraft:nuggetQuartz                             # Quartz Shard
AgriCraft:peripheral                               # Computer Controlled Seed Analyzer
AgriCraft:seedAllium                               # Allium Seeds
AgriCraft:seedAnalyzer                             # Seed Analyzer
AgriCraft:seedAurigold                             # Aurigold Seeds
AgriCraft:seedBotaniaBlack                         # Mystical Black Flower Seeds
AgriCraft:seedBotaniaBlue                          # Mystical Blue Flower Seeds
AgriCraft:seedBotaniaBrown                         # Mystical Brown Flower Seeds
AgriCraft:seedBotaniaCyan                          # Mystical Cyan Flower Seeds
AgriCraft:seedBotaniaGray                          # Mystical Gray Flower Seeds
AgriCraft:seedBotaniaGreen                         # Mystical Green Flower Seeds
AgriCraft:seedBotaniaLightBlue                     # Mystical Light Blue Flower Seeds
AgriCraft:seedBotaniaLightGray                     # Mystical Light Gray Flower Seeds
AgriCraft:seedBotaniaLime                          # Mystical Lime Flower Seeds
AgriCraft:seedBotaniaMagenta                       # Mystical Magenta Flower Seeds
AgriCraft:seedBotaniaOrange                        # Mystical Orange Flower Seeds
AgriCraft:seedBotaniaPink                          # Mystical Pink Flower Seeds
AgriCraft:seedBotaniaPurple                        # Mystical Purple Flower Seeds
AgriCraft:seedBotaniaRed                           # Mystical Red Flower Seeds
AgriCraft:seedBotaniaWhite                         # Mystical White Flower Seeds
AgriCraft:seedBotaniaYellow                        # Mystical Yellow Flower Seeds
AgriCraft:seedCactus                               # Cactus Seeds
AgriCraft:seedCarrot                               # Carrot Seeds
AgriCraft:seedCinderpearl                          # Cinderpearl Seeds
AgriCraft:seedCuprosia                             # Cuprosia Seeds
AgriCraft:seedDaisy                                # Daisy Seeds
AgriCraft:seedDandelion                            # Dandelion Seeds
AgriCraft:seedDiamahlia                            # Diamahlia Seeds
AgriCraft:seedEmeryllis                            # Emeryllis Seeds
AgriCraft:seedFerranium                            # Ferranium Seeds
AgriCraft:seedJaslumine                            # Jaslumine Seeds
AgriCraft:seedLapender                             # Lapender Seeds
AgriCraft:seedNiccissus                            # Niccissus Seeds
AgriCraft:seedNitorWart                            # Nitor Wart Spores
AgriCraft:seedOrchid                               # Blue Orchid Seeds
AgriCraft:seedOsmonium                             # Osmonium Seeds
AgriCraft:seedPetinia                              # Petinia Seeds
AgriCraft:seedPlatiolus                            # Platiolus Seeds
AgriCraft:seedPlombean                             # Plombean Seeds
AgriCraft:seedPoppy                                # Poppy Seeds
AgriCraft:seedPotato                               # Potato Seeds
AgriCraft:seedQuartzanthemum                       # Quartzanthemum Seeds
AgriCraft:seedRedstodendron                        # Redstodendron Seeds
AgriCraft:seedShimmerleaf                          # Shimmerleaf Seeds
AgriCraft:seedShroomBrown                          # Brown Mushroom Spores
AgriCraft:seedShroomRed                            # Red Mushroom Spores
AgriCraft:seedSilverweed                           # Silverweed Seeds
AgriCraft:seedStorage                              # Seed Storage
AgriCraft:seedSugarcane                            # Sugarcane Seeds
AgriCraft:seedTaintedRoot                          # Taint Root Seeds
AgriCraft:seedTulipOrange                          # Orange Tulip Seeds
AgriCraft:seedTulipPink                            # Pink Tulip Seeds
AgriCraft:seedTulipRed                             # Red Tulip Seeds
AgriCraft:seedTulipWhite                           # White Tulip Seeds
AgriCraft:seedVishroom                             # Vishroom Spores
AgriCraft:sprinkler                                # Sprinkler
AgriCraft:trowel                                   # Gardening Trowel
AgriCraft:waterChannel                             # Wooden Irrigation Channel
AgriCraft:waterChannelFull                         # Wooden Irrigation Channel
AgriCraft:waterPad                                 # Water Pad
AgriCraft:waterPadFull                             # Water Pad
AgriCraft:waterTank                                # Wooden Water Tank
AkutoEngine:TankEX                                 # TankEX
AkutoEngine:autoengine                             # Akuto Engine
AkutoEngine:coreElemntary                          # Black Feather of Chicken
AkutoEngine:coreElemntary2                         # Black Leather of Cow
AkutoEngine:engineChip                             # Lever Chip
AkutoEngine:engineCore                             # Super Engine Core
AkutoEngine:engineCoreMk2                          # Super Engine Core MkⅡ
AkutoEngine:fillerEX                               # FillerEX
AkutoEngine:fillerModule                           # Filling Module
AkutoEngine:heatPearl                              # Blaze Pearl
AkutoEngine:infinityChest                          # Infinity Chest
AkutoEngine:manualFiller                           # Manual of FilleEX
AkutoEngine:pumpEX                                 # PumpEX
AkutoLib:lightBlock                                # tile.lightBlock.name
AkutoLib:manual                                    # akutolib:item.manual.test.name
Aquaculture:item.AdminFishingRod                   # Admin Fishing Rod
Aquaculture:item.DiamondFishingRod                 # Diamond Fishing Rod
Aquaculture:item.Fish                              # Bluegill
Aquaculture:item.GoldFishingRod                    # Golden Fishing Rod
Aquaculture:item.IronFishingRod                    # Iron Fishing Rod
Aquaculture:item.NeptuniumAxe                      # Neptunium Axe
Aquaculture:item.NeptuniumBoots                    # Neptunium Boots
Aquaculture:item.NeptuniumHelmet                   # Neptunium Helmet
Aquaculture:item.NeptuniumHoe                      # Neptunium Hoe
Aquaculture:item.NeptuniumLegs                     # Neptunium Legs
Aquaculture:item.NeptuniumPickaxe                  # Neptunium Pickaxe
Aquaculture:item.NeptuniumPlate                    # Neptunium Plate
Aquaculture:item.NeptuniumShovel                   # Neptunium Shovel
Aquaculture:item.NeptuniumSword                    # Neptunium Sword
Aquaculture:item.fishingRod                        # Vanilla Fishing Rod
Aquaculture:item.loot                              # Seaweed
ArchimedesShipsPlus:anchorPoint                    # Anchor Point
ArchimedesShipsPlus:balloon                        # Air Balloon
ArchimedesShipsPlus:buffer                         # Shore Buffer
ArchimedesShipsPlus:crate_wood                     # Wooden Crate
ArchimedesShipsPlus:engine                         # Steam Engine
ArchimedesShipsPlus:floater                        # Floater
ArchimedesShipsPlus:gauge                          # Measurement Gauges
ArchimedesShipsPlus:marker                         # Ship's Helm
ArchimedesShipsPlus:seat                           # Passenger Seat
ArchimedesShipsPlus:stickyBuffer                   # Sticky Buffer
ArchitectureCraft:chisel                           # Architect's Chisel
ArchitectureCraft:cladding                         # Cladding
ArchitectureCraft:glowbrush                        # Architect's Glowbrush
ArchitectureCraft:hammer                           # Architect's Hammer
ArchitectureCraft:largePulley                      # Large Pulley
ArchitectureCraft:sawbench                         # Architect's Sawbench
ArchitectureCraft:sawblade                         # Circular Saw Blade
ArchitectureCraft:shape                            # Architectural Block
ArchitectureCraft:shapeSE                          # Architectural Block(Glow)
Aroma1997Core:wrench                               # Aromic Hammer
Aroma1997Core:wrenched                             # null
Aroma1997sDimension:aromicPortal                   # Mining Portal
Aroma1997sDimension:dimensionChanger               # DimensionChanger
Aroma1997sDimension:portalFrame                    # Portal Frame
Aroma1997sDimension:portalIgniter                  # Mining Multitool
Aroma1997sDimension:stickyOre                      # Sticky Ore
AutoUtils:filtermover                              # Filtered Stack Mover
AutoUtils:itemredis                                # Item Redistributor
AutoUtils:rednotifier                              # Redstone Notifier
AutoUtils:sequenceplacer                           # Sequential Placer
AutoUtils:sidedrs                                  # Redstone Panel
AutoUtils:stackmover                               # Stack Mover
AutoUtils:watcher                                  # Redstone Watcher
Automagy:autoHandMirror                            # Hungry Hand Mirror
Automagy:avaricePearl                              # Avarice Pearl
Automagy:baubleEnderDisjunction                    # Ring of Ender Disjunction
Automagy:blockAmnesiac                             # Amnesiac's Stone
Automagy:blockBoiler                               # Alchemical Boiler
Automagy:blockBookshelfEnchanted                   # Enchanting Bookshelf
Automagy:blockCreativeJar                          # tile.blockCreativeJar.0.name
Automagy:blockDimensionLure                        # Dimensional Lure
Automagy:blockEagerChest                           # Eager Chest
Automagy:blockEntitySignal                         # Signum Entia
